Year,Total_Production,Avg_Yield
1997,611360511148.0,2761.115479144759
1998,794526736796.0,2711.434640181172
1999,863095431575.5,2796.4092284449844
2000,974038780468.3,3261.6533327913035
2001,949813779872.37,3313.039293188568
2002,1259111391681.177,3619.3811865233565
2003,1251218407179.8281,3483.1606601596864
2004,1400593407647.7236,3852.9380565794877
2005,1512955915357.7415,4532.426135627682
2006,1589947135475.8467,4672.200228421257
2007,1464234817426.31,4099.583394412929
2008,1634987942268.237,5016.389930021533
2009,1678457589631.11,5213.66763481642
2010,1214463448370.47,3995.385193480468
2011,1954121900723.53,5450.05674709934
2012,1326885430526.83,3976.409160908729
2013,1733054782069.28,4752.875195214191
2014,1797626112462.81,5712.931008836108
2015,1849121742627.6,8760.388761943066
2016,1652594406297.8,8379.14653024299
2017,1602760032038.3,8363.477196525251
2018,1806107416725.1,8502.135503282361
2019,1842529509268.2278,8103.26987582264
2020,1017722600.0,414.045752279531
