Year,ONI,Monsoon_Rainfall,Rainfall_Departure,Avg_Temperature
1950.0,-0.8583333333333334,923.2,3.7,23.659333333333336
1951.0,0.44166666666666665,749.2,-18.7,24.22066666666667
1952.0,0.16666666666666666,827.8,-8.2,24.3655
1953.0,0.7083333333333334,983.4,9.8,24.56158333333333
1954.0,-0.3833333333333333,914.4,3.1,24.167166666666663
1955.0,-0.9500000000000001,962.0,10.1,23.952166666666667
1956.0,-0.5750000000000001,987.8,13.6,23.899666666666665
1957.0,0.9583333333333334,898.1,-2.4,24.026416666666663
1958.0,0.8250000000000001,1012.9,9.8,24.67633333333333
1959.0,0.125,1036.7,14.3,24.26683333333333
1960.0,0.05833333333333333,930.0,0.6,24.287166666666668
1961.0,-0.03333333333333333,1078.2,21.8,23.81525
1962.0,-0.20833333333333334,893.6,-3.0,23.88475
1963.0,0.6583333333333333,912.2,-2.1,24.09575
1964.0,-0.35000000000000003,1031.4,9.8,24.0705
1965.0,0.8999999999999999,738.3,-18.2,24.09091666666667
1966.0,0.375,779.8,-13.2,24.438583333333337
1967.0,-0.3,884.1,0.1,23.992083333333337
1968.0,0.1416666666666667,791.6,-10.3,23.86475
1969.0,0.7416666666666667,888.3,0.2,24.501166666666663
1970.0,-0.325,998.7,12.2,24.07408333333333
1971.0,-0.9416666666666668,885.7,4.0,23.634
1972.0,0.9249999999999999,697.4,-23.9,24.272166666666667
1973.0,-0.625,956.1,7.5,24.38658333333333
1974.0,-0.8833333333333333,798.8,-12.0,24.17575
1975.0,-1.0583333333333333,1011.4,15.2,23.862166666666667
1976.0,-0.04999999999999999,901.5,2.5,24.199583333333333
1977.0,0.5,911.3,4.0,24.28891666666667
1978.0,-0.10000000000000002,965.2,9.2,24.00733333333333
1979.0,0.24166666666666667,724.8,-19.0,24.553583333333336
1980.0,0.25833333333333336,912.1,3.9,24.593083333333336
1981.0,-0.2833333333333333,887.1,-0.2,24.228416666666664
1982.0,1.0083333333333335,767.4,-14.5,24.21825
1983.0,0.47500000000000003,1001.5,13.0,23.938
1984.0,-0.4916666666666667,859.8,-4.4,24.18508333333333
1985.0,-0.6,832.5,-7.1,24.48633333333333
1986.0,0.2416666666666667,769.9,-12.7,24.2945
1987.0,1.2750000000000001,774.6,-19.4,24.78908333333333
1988.0,-0.8166666666666668,1094.1,19.3,24.72775
1989.0,-0.6083333333333333,920.0,0.9,24.162333333333333
1990.0,0.30833333333333335,972.3,6.2,24.17816666666667
1991.0,0.6416666666666666,828.3,-9.3,24.311750000000004
1992.0,0.6416666666666667,831.7,-6.7,24.222916666666663
1993.0,0.325,905.7,-0.9,24.408666666666665
1994.0,0.47500000000000003,1001.2,12.5,24.29641666666667
1995.0,-0.15833333333333335,900.3,-1.9,24.42975
1996.0,-0.4666666666666666,935.1,3.4,24.436916666666665
1997.0,1.1666666666666667,927.3,2.2,24.04733333333333
1998.0,-0.06666666666666667,943.1,4.0,24.755416666666665
1999.0,-1.2333333333333334,863.1,-4.4,24.65983333333333
2000.0,-0.8250000000000001,833.7,-7.8,24.498
2001.0,-0.3,821.9,-7.8,24.581916666666668
2002.0,0.6333333333333333,737.3,-19.2,24.913
2003.0,0.25833333333333336,919.5,2.3,24.649916666666662
2004.0,0.4583333333333333,774.2,-13.8,24.63458333333333
2005.0,0.033333333333333326,874.3,-1.3,24.495416666666667
2006.0,0.05833333333333333,889.3,-0.4,24.732083333333332
2007.0,-0.6083333333333334,943.0,5.7,24.649916666666662
2008.0,-0.775,877.7,-1.7,24.406
2009.0,0.3,698.2,-21.8,25.146666666666665
2010.0,-0.46666666666666673,911.1,2.0,25.050833333333333
2011.0,-0.775,901.3,1.6,24.41558333333333
2012.0,-0.075,823.9,-7.1,24.640833333333333
2013.0,-0.24166666666666667,937.2,5.6,25.41325
