Year,Monsoon_Rainfall,Rainfall_Departure
1901,756.6,-13.1
1902,792.1,-9.1
1903,891.9,2.6
1904,765.2,-11.8
1905,718.5,-17.4
1906,902.3,4.0
1907,780.3,-10.0
1908,927.7,7.4
1909,927.9,7.1
1910,940.2,8.1
1911,743.5,-14.7
1912,829.8,-4.5
1913,784.3,-10.0
1914,964.3,10.4
1915,794.7,-9.4
1916,1056.1,13.2
1917,1124.2,22.9
1918,736.5,-24.9
1919,979.5,5.9
1920,781.6,-16.8
1921,986.4,3.7
1922,957.5,3.5
1923,901.0,-2.5
1924,972.8,4.1
1925,905.9,-3.3
1926,983.7,6.9
1927,970.7,2.0
1928,876.0,-8.6
1929,864.6,-6.5
1930,876.4,-5.4
1931,962.3,2.9
1932,899.7,-3.7
1933,1061.0,15.1
1934,980.3,4.7
1935,919.5,-2.9
1936,993.9,6.1
1937,903.1,-2.3
1938,1005.0,5.0
1939,860.5,-8.7
1940,905.0,-2.6
1941,813.5,-13.3
1942,1040.5,13.8
1943,953.1,3.7
1944,958.7,4.8
1945,949.7,3.7
1946,983.4,6.7
1947,975.5,5.2
1948,977.2,1.8
1949,940.8,0.5
1950,923.2,3.7
1951,749.2,-18.7
1952,827.8,-8.2
1953,983.4,9.8
1954,914.4,3.1
1955,962.0,10.1
1956,987.8,13.6
1957,898.1,-2.4
1958,1012.9,9.8
1959,1036.7,14.3
1960,930.0,0.6
1961,1078.2,21.8
1962,893.6,-3.0
1963,912.2,-2.1
1964,1031.4,9.8
1965,738.3,-18.2
1966,779.8,-13.2
1967,884.1,0.1
1968,791.6,-10.3
1969,888.3,0.2
1970,998.7,12.2
1971,885.7,4.0
1972,697.4,-23.9
1973,956.1,7.5
1974,798.8,-12.0
1975,1011.4,15.2
1976,901.5,2.5
1977,911.3,4.0
1978,965.2,9.2
1979,724.8,-19.0
1980,912.1,3.9
1981,887.1,-0.2
1982,767.4,-14.5
1983,1001.5,13.0
1984,859.8,-4.4
1985,832.5,-7.1
1986,769.9,-12.7
1987,774.6,-19.4
1988,1094.1,19.3
1989,920.0,0.9
1990,972.3,6.2
1991,828.3,-9.3
1992,831.7,-6.7
1993,905.7,-0.9
1994,1001.2,12.5
1995,900.3,-1.9
1996,935.1,3.4
1997,927.3,2.2
1998,943.1,4.0
1999,863.1,-4.4
2000,833.7,-7.8
2001,821.9,-7.8
2002,737.3,-19.2
2003,919.5,2.3
2004,774.2,-13.8
2005,874.3,-1.3
2006,889.3,-0.4
2007,943.0,5.7
2008,877.7,-1.7
2009,698.2,-21.8
2010,911.1,2.0
2011,901.3,1.6
2012,823.9,-7.1
2013,937.2,5.6
2014,781.7,-11.9
2015,764.9,-13.8
2016,864.4,-2.6
