Year,Avg_Temperature
1796,23.675250000000002
1797,24.8399
1798,23.2733
1799,23.949416666666664
1800,23.911916666666666
1801,23.1751
1802,24.384333333333334
1803,24.145750000000003
1804,24.492416666666667
1805,24.025500000000005
1806,23.92616666666667
1807,23.4996
1813,23.27125
1814,22.657363636363637
1815,22.80775
1816,22.424000000000003
1817,22.5955
1818,22.953000000000003
1819,22.653583333333334
1820,22.84075
1821,23.527583333333336
1822,23.597416666666664
1823,23.471083333333336
1824,24.04975
1825,23.796083333333332
1826,23.858999999999998
1827,23.956416666666666
1828,23.623666666666665
1829,23.4435
1830,23.67233333333333
1831,23.241666666666664
1832,23.4586
1833,23.54825
1834,23.5295
1835,22.658083333333334
1836,23.25916666666667
1837,23.182916666666667
1838,23.192916666666665
1839,23.24475
1840,23.445166666666665
1841,23.26075
1842,23.41425
1843,23.31233333333333
1844,23.094083333333334
1845,23.343166666666665
1846,23.8025
1847,23.31833333333333
1848,23.22758333333333
1849,23.224249999999998
1850,23.504583333333333
1851,23.485166666666668
1852,23.378333333333334
1853,23.66541666666667
1854,23.759083333333336
1855,23.758750000000003
1856,23.292
1857,22.9645
1858,23.600083333333334
1859,23.671083333333332
1860,23.396833333333333
1861,23.299333333333337
1862,18.659666666666666
1865,23.7895
1866,23.823000000000004
1867,23.89816666666667
1868,23.684083333333334
1869,23.733333333333334
1870,23.535166666666665
1871,23.615166666666667
1872,23.626833333333334
1873,23.701833333333337
1874,23.642583333333334
1875,23.7555
1876,23.725916666666667
1877,23.88275
1878,24.131083333333333
1879,23.601083333333335
1880,23.86075
1881,23.677833333333336
1882,23.5885
1883,23.340833333333332
1884,23.24066666666667
1885,23.389916666666668
1886,23.644833333333334
1887,23.42216666666667
1888,23.70266666666667
1889,23.988166666666668
1890,23.698416666666663
1891,23.647583333333333
1892,23.989833333333337
1893,22.889833333333332
1894,23.691666666666666
1895,23.800083333333333
1896,24.404416666666666
1897,24.2195
1898,24.063833333333335
1899,24.17175
1900,24.367833333333333
1901,24.08425
1902,24.31866666666667
1903,23.767416666666666
1904,23.7585
1905,23.515
1906,23.88808333333333
1907,23.677083333333332
1908,23.74191666666667
1909,23.661
1910,23.544166666666666
1911,23.869333333333334
1912,24.007083333333338
1913,23.700833333333335
1914,23.8255
1915,24.29008333333333
1916,23.8255
1917,23.081083333333336
1918,23.77175
1919,23.825166666666664
1920,23.955416666666668
1921,24.249250000000004
1922,23.904416666666666
1923,23.90925
1924,24.046000000000003
1925,23.662583333333334
1926,23.847333333333335
1927,23.773750000000003
1928,24.139
1929,23.97141666666667
1930,23.837
1931,24.249333333333336
1932,24.07858333333333
1933,23.560333333333332
1934,23.767416666666666
1935,23.761833333333332
1936,23.834833333333336
1937,23.707916666666666
1938,23.891916666666663
1939,23.99325
1940,23.90225
1941,24.67425
1942,24.2105
1943,23.90516666666667
1944,23.847916666666666
1945,23.671583333333334
1946,24.134416666666667
1947,24.2795
1948,24.19
1949,24.047250000000002
1950,23.659333333333336
1951,24.22066666666667
1952,24.3655
1953,24.561583333333335
1954,24.167166666666663
1955,23.952166666666667
1956,23.899666666666665
1957,24.026416666666666
1958,24.676333333333332
1959,24.266833333333334
1960,24.287166666666668
1961,23.815250000000002
1962,23.88475
1963,24.09575
1964,24.0705
1965,24.09091666666667
1966,24.438583333333337
1967,23.992083333333337
1968,23.86475
1969,24.501166666666666
1970,24.074083333333334
1971,23.634
1972,24.272166666666667
1973,24.386583333333334
1974,24.175749999999997
1975,23.862166666666667
1976,24.199583333333333
1977,24.28891666666667
1978,24.007333333333335
1979,24.553583333333336
1980,24.593083333333336
1981,24.228416666666664
1982,24.21825
1983,23.938000000000002
1984,24.185083333333335
1985,24.486333333333334
1986,24.2945
1987,24.789083333333334
1988,24.72775
1989,24.162333333333333
1990,24.17816666666667
1991,24.311750000000004
1992,24.222916666666666
1993,24.408666666666665
1994,24.29641666666667
1995,24.42975
1996,24.436916666666665
1997,24.04733333333333
1998,24.755416666666665
1999,24.659833333333335
2000,24.498
2001,24.581916666666668
2002,24.913
2003,24.649916666666666
2004,24.634583333333335
2005,24.495416666666667
2006,24.732083333333335
2007,24.649916666666666
2008,24.406000000000002
2009,25.146666666666665
2010,25.050833333333333
2011,24.415583333333334
2012,24.640833333333333
2013,25.413249999999998
